id,name,address,lat,lng
378,Rushall Garden,"Merri Creek Trail, Fitzroy North, Melbourne, City of Yarra, Victoria, 3068, Australia",-37.7848856,144.9957212
379,Lennox St Community Garden,"Lennox Street, Richmond, Abbotsford, Melbourne, City of Yarra, Victoria, 3121, Australia",-37.8176694,144.9947042
380,Manna Community Garden,"Station Road, Foster, Shire of South Gippsland, Victoria, Australia",-38.658153,146.2053867
372,Dig In Community Garden,"Williamstown Road, Garden City, Port Melbourne, Melbourne, City of Port Phillip, Victoria, 3207, Australia",-37.8341581,144.9295701
373,Jindivick Community Garden,"Jindivick, Shire of Baw Baw, Victoria, Australia",-38.0270471,145.8992124
374,Maribyrnong Community Garden,"Hortense Street, Maribyrnong, Melbourne, City of Maribyrnong, Victoria, 3032, Australia",-37.7687175,144.8942169
375,Mary and Basil Organic Community Garden,"Danks Street, Middle Park, St Kilda West, Melbourne, City of Port Phillip, Victoria, 3182, Australia",-37.8508895,144.9584813
376,Maidstone Community Garden,"Yardley Street, Maidstone, Melbourne, City of Maribyrnong, Victoria, 3019, Australia",-37.7889612,144.8686156
377,Long Gully Community Garden,"Energetic Street, Ironbark, Bendigo, City of Greater Bendigo, Victoria, 3550, Australia",-36.7522514,144.2579693
378,Rushall Garden,"Merri Creek Trail, Fitzroy North, Melbourne, City of Yarra, Victoria, 3068, Australia",-37.7848856,144.9957212
379,Lennox St Community Garden,"Lennox Street, Richmond, Abbotsford, Melbourne, City of Yarra, Victoria, 3121, Australia",-37.8176694,144.9947042
380,Manna Community Garden,"Station Road, Foster, Shire of South Gippsland, Victoria, Australia",-38.658153,146.2053867
381,Lygon St Community Garden,"Lygon Street, Melbourne Innovation District, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia",-37.8000755,144.9670959
382,Lara Community Garden & Art Precinct,"Scuti Court, Lara, Victoria, 3212, Australia",-38.0184022,144.4095864
383,Laverton Community Garden,"Bladin Street, Laverton, Melbourne, City of Hobsons Bay, Victoria, 3028, Australia",-37.8560467,144.7724775
384,Luscombe Street Community Garden,"Luscombe Street, East Brunswick Village, Brunswick East, Melbourne, City of Moreland, Victoria, 3057, Australia",-37.7766585,144.9702913
385,Melbourne University Community Gardens,"Engineering Lane, Melbourne Innovation District, Parkville, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia",-37.7992286,144.9617905
386,Mt Alexander Sustainability Group Community Garden,"Templeton Street, Castlemaine, Shire of Mount Alexander, Victoria, 3450, Australia",-37.0633862,144.2182211
387,Monash University Permaculture Food Garden and Community Farm,"Martin Street, Notting Hill, Melbourne, City of Monash, Victoria, 3168, Australia",-37.9091988,145.1428982
388,Mater Street Community Garden,"Mater Street, Collingwood, Melbourne, City of Yarra, Victoria, 3066, Australia",-37.7955933,144.9873261
389,Mentone Community Garden,"Venice Street, Mentone, Parkdale, Melbourne, City of Kingston, Victoria, 3195, Australia",-37.9858618,145.0637808
381,Lygon St Community Garden,"Lygon Street, Melbourne Innovation District, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia",-37.8000755,144.9670959
382,Lara Community Garden & Art Precinct,"Scuti Court, Lara, Victoria, 3212, Australia",-38.0184022,144.4095864
383,Laverton Community Garden,"Bladin Street, Laverton, Melbourne, City of Hobsons Bay, Victoria, 3028, Australia",-37.8560467,144.7724775
384,Luscombe Street Community Garden,"Luscombe Street, East Brunswick Village, Brunswick East, Melbourne, City of Moreland, Victoria, 3057, Australia",-37.7766585,144.9702913
385,Melbourne University Community Gardens,"Engineering Lane, Melbourne Innovation District, Parkville, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia",-37.7992286,144.9617905
386,Mt Alexander Sustainability Group Community Garden,"Templeton Street, Castlemaine, Shire of Mount Alexander, Victoria, 3450, Australia",-37.0633862,144.2182211
387,Monash University Permaculture Food Garden and Community Farm,"Martin Street, Notting Hill, Melbourne, City of Monash, Victoria, 3168, Australia",-37.9091988,145.1428982
388,Mater Street Community Garden,"Mater Street, Collingwood, Melbourne, City of Yarra, Victoria, 3066, Australia",-37.7955933,144.9873261
389,Mentone Community Garden,"Venice Street, Mentone, Parkdale, Melbourne, City of Kingston, Victoria, 3195, Australia",-37.9858618,145.0637808
390,Narre Warren North Comunity Garden,"Main Street, Narre Warren North, Melbourne, City of Casey, Victoria, 3804, Australia",-37.9803067,145.3166554
391,Newstead Community Garden,"Layard Street, Newstead, Shire of Mount Alexander, Victoria, Australia",-37.112268,144.0636897
392,Murnong Community Garden,"Titch Street, Footscray, Melbourne, City of Maribyrnong, Victoria, 3011, Australia",-37.789251,144.8915471
393,Mulberry Community Garden Glenroy,"Glenroy Road, Glenroy, Melbourne, City of Moreland, Victoria, 3046, Australia",-37.7061284,144.9271553
394,Myuna Farm,"Kidds Road, Myuna Farm, Doveton, Melbourne, City of Casey, Victoria, 3177, Australia",-37.9850323,145.2329888
395,Noble Park Community Garden,"Memorial Drive, Noble Park, Melbourne, City of Greater Dandenong, Victoria, 3174, Australia",-37.9616522,145.172777
396,Northcote Community Gardens,"Hartington Street, Ruckers Hill, Northcote, Melbourne, City of Darebin, Victoria, 3070, Australia",-37.780236,144.9964901
397,Ringwood Community Garden,"Selkirk Avenue, Wantirna, Melbourne, City of Knox, Victoria, 3152, Australia",-37.8426513,145.2326378
